,Chunk ID,Concept ID,Source Page,Chunk Text Content
19,CH020,C001,25,"18 LOVELY PROFESSIONAL UNIVERSITY Object-oriented Programming Notes Unit 2: Beginning of OOP Language CONTENTS Objectives Introduction 2.1 Review of Tokens 2.1.1 Keywords 2.1.2 Identifiers 2.2 Assignment Expression 2.3 Operators 2.3.1 Arithmetic Operators 2.3.2 Assignment Operators 2.3.3 Unary Operators 2.3.4 Comparison Operators 2.3.5 Shift Operators 2.3.6 Bit-wise Operators 2.3.7 Logical Operators 2.3.8 Conditional Operators 2.4 Control Structures 2.4.1 The if-else Construct 2.4.2 Looping 2.5 Scope Resolution Operator 2.6 Member Dereferencing Operators 2.6.1 Memory Management Operators 2.6.2 Declaration of Variables 2.6.3 Dynamic Initialization of Variables 2.6.4 Reference Variables 2.7 Summary 2.8 Keywords 2.9 Review Questions 2.10 Further Readings Objectives After studying this unit, you will be able to:  Recognize the tokens  Describe the expressions Manpreet Kaur, Lovely Professional University"
20,CH021,C001,26,"LOVELY PROFESSIONAL UNIVERSITY19 Unit 2: Beginning of OOP LanguageNotesExplain the operatorsDiscuss the control structuresExplain the scope resolution operatorDescribe the member dereferencing operatorRecognize the reference variableIntroductionC++ is a language in essence. It is made up of letters, words, sentences, and constructs just likeEnglish language. This unit discusses these elements of the C++ language along with the operatorsapplicable over them.2.1 Review of TokensAs we know, the smallest individual units in a program are known as tokens. C++ has thefollowing tokens:1.Keywords2.Identifiers3.Constants4.Strings5.OperatorsA C++ program is written using these tokens, white spaces, and the syntax of the language. Mostof the C++ tokens are basically similar to the C tokens with the exception of some additions andminor modifications. Did u know? How tokens are being separated?Tokens are usually separated by “white space.” White space can be one or more:(a)Blanks(b)Horizontal or vertical tabs(c)New lines(d)Formfeeds(e)Comments2.1.1KeywordsThe keywords implement specific C++ language features. They are explicitly reserved identifiersand cannot be used as names for the program variables or other user-defined program elements.Table 2.1 gives the complete set of C++ keywords. The keywords not found in ANSI C are shownboldface. These keywords have been added to the ANSI C keywords in order to enhance itsfeatures making it an object-oriented language."
21,CH022,C001,27,"20 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotesasm double new switch auto else operator template break enum private this case extern protected throw catch float public try char for register typedet class friend return union const goto short unsigned continue if signed virtual default inline sizeof void delete int static volatile do long struct while 2.1.2IdentifiersIdentifiers refer to the names of variables, functions, arrays, classes, etc., created by theprogrammer. They are the fundamental requirement of any language. Each language has itsown rules for naming these identifiers. The following rules are common to both C and C++:1.Only alphabetic characters, digits and underscores are permitted.2.The name cannot start with a digit.3.Uppercase and lowercase letters are distinct.4.A declared keyword cannot be used as a variable name.A major difference between C and C++ is the limit on the length of a name. While ANSI Crecognizes only the first 32 characters in a name, C++ places no limit on its length and, therefore,all the characters in a name are significant.Care should be exercised while naming a variable that is being shared by more than one filecontaining C and C++ programs. Some operating systems impose a restriction on the length ofsuch a variable name.!Caution The first character in an identifier must be a letter or the _ (underscore) character;however, beginning identifiers with an underscore is considered poor programmingstyle.Self AssessmentFill in the blanks:1.The keywords not found in ANSI C are shown …………………. .2.A major difference between C and C++ is the limit on the length of a………………. . Table 2.1: C++ Keywords"
22,CH023,C001,29,"22 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotesExample:#include <iostream>using namespace std;int main (){ int a, b; // a:?, b:? a = 10; // a:10, b:? b = 4; // a:10, b:4 a = b; // a:4, b:4 b = 7; // a:4, b:7 cout << “a:”; cout << a; cout << “ b:”; cout << b; return 0;}Self AssessmentFill in the blanks:3.Assignment expression assigns the value of an expression, a constant or a variable toan……………….. .2.3 OperatorsAn expression is a combination of variables, constants and operators written according to somerules. An expression evaluates to a value that can be assigned to variables and can also be usedwherever that value can be used.Individual constant, variables, array elements function references can be joined together byvarious operators to form expressions. C++ includes a large number of operators, which fallinto several different categories. In this section we examine some of these categories in detail.Specifically, we will see how arithmetic operators; unary operators, relational and logicaloperators, assignment operators and the conditional operator are used to form expressions.The data items that operators act upon are called operands. Some operators require two operands,while others act upon only one operand. Most operators allow the individual operands to beexpressions. A few operators permit only single variables as operands.Operators are used to compute and compare values, and test multiple conditions. They can beclassified as:1.Arithmetic operators2.Assignment operators"
23,CH024,C001,31,"24 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotes Notes Note that the truncated quotient resulting from the division operation, since bothoperands represent integer quantities. Also, notice the integer remainder resulting fromthe use of the modulus operator in the last expression.Now suppose that a1 and a2 are floating-point variables whose values are 14.5 and 2.0,respectively. Several arithmetic expressions involving these variables are shown below, togetherwith their resulting values.ExpressionValuea1 + a216.5a1 – a212.5a1 * a229.0a1 / a27.25Finally, suppose that x1 and x2 are character-type variables that represent the character M and U,respectively. Some arithmetic expressions that make use of these variables are shown below,together with their resulting values (based upon the ASCII character set).x1+x2 = 162x1+x2+’5'=215Note that M is encoded as (decimal) 77, U is encoded as 85, and 5 is encoded as 53 in the ASCIIcharacter set.If one or both operands represent negative values, then the addition, subtraction, multiplicationand division operations will result in values whose signs are determined by the usual rules ofalgebra. Integer division will result in truncation toward zero; i.e., the resultant will always besmaller in magnitude than the true quotient.The interpretation of the remainder operation is unclear when one of the operands is negative.Most versions of C++ assign the sign of the first operand to the remainder. Thus, the conditiona = ((a/b) * b) + a % b)will always be satisfied, regardless of the signs of the values represented by a and b.Suppose that x and y are integer variables whose values are 12 and –2, respectively. Severalarithmetic expressions involving these variables are shown below, together with their resultingvalues.Expression Valuex+y 10x–y 12x*y –24x/y –6x%y 0"
24,CH025,C001,33,"26 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotes2.3.2Assignment OperatorsOperatorDescriptionExampleExplanation=Assign the value of thea = bAssigns the value of b to aright operand to the left+=Adds the operands anda +=bAdds the of b to aassigns the result to theThe expression could also beleft operand written as a = a+b–=Subtracts the righta -=bSubtracts b from aoperand from the leftEquivalent to a = a-boperand and stores theresult in the left operand*=Multiplies the left operanda*=bMultiplies the values a and b bystores the result in the leftthe right operand andoperandand stores the result in aEquivalent to a = a*b/=Divides the left operanda/=bDivides a by b and stores thestores the result in the leftby the right operand andoperandresult in a Equivalent to a = a/b*=Divides the left operanda%=bDivides a by b and stores thestores the remainder inby the right operand andthe left operandremainder in aEquivalent to a = x%yAny of the operators used as shown below:A <operator>=ycan also be represented asa=a <operator> bthat is, b is evaluated before the operation takes place.You can also assign values to more than one variable at the same time. The assignment will takeplace from the right to the left. For example,a = b = 0;In the example given above, first b will be initialized and then a will be initialized. Did u know? What is self assignment?Self assignment is when someone assigns an object to itself. For example, #include “Fred.h” // Defines class Fred void userCode(Fred& x) { x = x; // Self-assignment }"
25,CH026,C001,35,"28 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotes Notes The operators, ‘++’ and ‘—’ , are best used in simple expressions like the ones shownabove.2.3.4Comparison OperatorsComparison operators evaluate to true or false.OperatorDescriptionExampleExplanation==Evaluates whether theA==bReturns true if the valuesoperands are equal.are equal and falseotherwise!=Evaluates whether thea!=yReturns true if the valuesoperands are not equalare not equal and falseotherwise>Evaluates whether thea>bReturns true if a is greaterleft operand is greaterthan b and falsethan the right operand<Evaluates whether thea<bReturns true if a is greaterleft operand is less thanthan or equal to b and falsethe right operandotherwise>=Evaluates whether thea>=bReturns true if a is greaterleft operand is greaterthan or equal to b and falsethan or equal to theotherwiseright operand<=Evaluates whether theA<=bReturns true if a is lessleft operand is less thanthan or equal to b and falseor equal to the rightotherwise.OperandExample:#include <iostream>using namespace std;int main (){ int a, b=3; a = b; a+=2; // equivalent to a=a+2 cout << a; return 0;}"
26,CH027,C001,37,"30 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotes10/23, which is equivalent to 1.When you do a left shift by 3 (10 << 3), the result is0101000010*23, which is equivalent to 80Shifting Negative NumbersFor negative numbers, the unused bits are initialized to 1. Therefore, –10 is represented as:111101102.3.6Bit-wise OperatorsOperatorDescriptionExampleExplanation&Evaluates to a binarya & bAND results in a 1 if both(AND)value after a bit-wisethe bits are 1, any otherAND on the operandscombination results in a 0! Evaluates to binarya ! bOR results in a 0 when(OR)value after aboth the bit-wise OR ontwo operandsthe bits are 0, any othercombination results in a 1.^Evaluates to a binarya ^ bXOR results in a 0 if both(XOR)value after a bit-wisethe bits are of the sameXOR on the two operandsvalue and 1 if the bits havedifferent values.~Converts all 1 bits to 0s andExample given below.(inversion)all 0 bits to 1sIn the example shown in the table, a and b are integers and can be replaced with expressions thatgive a true or false (boo1) result.Example: When both the expressions evaluate to true, the result of using the & operatoris true. Otherwise, the result is false.The ~ OperatorIf you use the ~ operator, all the 1a in the bite are converted to 0s and vice versa. For example,10011001 would become 01100110.2.3.7Logical OperatorsUse logical operators to combine the results of Boolean expressions.OperatorDescriptionExampleExplanation&&Evaluates to true, ifa>6&&y<20The result is true ifboth the conditions evaluatecondition 1 (a>6) andto true, false otherwisecondition 2 (y<20) areboth true. If one of them isfalse, the result is false."
27,CH028,C001,39,"32 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotesIn the above program code, we determining whether num1 is greater than num2. The variable,imax is assigned the value, num1, if the expression, (num1 >num2), evaluates to true, and thevalue, num2, if the expression evaluates to false. The above program code can be modified usingthe conditional operator as:Imax = (num1 > num2) ? num1 : num2;The ?: Operator is called the ternary operator since it has three operands.This example calculates the grade of a Ram based on his marks.Int marks = 0;Cout << “Please enter marks of the Ram;Cin >> marks;Char grade = (marks < 80), the variable, grade is assigned the value, ‘A’. If Ram’s score is lessthan or equal to 80 grade is assigned the value ‘B’.The following code will display either “PASSED” or “FAILED”, depending on the value in thevariable, score.Cout << {score > 50? “PASSED” or FAILED, depending on the value in the variable, score.Cout << (score > 50? “PASSED” : “FAILED”} << end1;Self AssessmentFill in the blanks:4.The data items that operators act upon are called…………………... .5.A declared keyword cannot be used as a ……………….. name.6.The operands acted upon by arithmetic operators must represent ………………… values.7.An operation between a float and double will result in a………………. .8.A ………….. can have a value of one or zero.2.4Control StructuresC++ program may require that a logical test be carried out at some particular point within theprogram. One of several possible actions will then be carried out, depending on the outcome ofthe logical test. This is known as branching. There is also a special kind of branching, calledselection, in which one group of statements is selected from several available groups. In addition,the program may require that a group of instructions be executed repeatedly, until some logicalcondition has been satisfied. This is known as looping. Sometimes the required number ofrepetitions is known in advance; and sometimes the computation continues indefinitely untilthe logical condition becomes true.All of these operations can be carried out using the various control statements included in C++.Several logical expressions are given below.count < = 100sqrt( x + y + z) > 0.00answer = = 0"
28,CH029,C001,41,"34 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotesThe statement can be either simple or compound. In practice, it is often a compound statement,which may include other control statements. For example, consider the following program:#include <iostream.h>int main(){char chr;cout << “Please enter a character:” ;cin >> chr;if (chr == ‘X’)cout << end1 << “The character is X”;elsecout << end1 << “The character is not X”;return 0;}Note that the operator, ==, used for comparing two data items, is different from the assignmentoperator, =,In an if-else block of statements, the condition is evaluated first. If the condition is true (value isnon-zero), the statements in the immediate block are executed, if the condition is false (value iszero) the statements in the else block are executed.In the above example, if the input character is ‘X’, the message displayed is, ‘the character is X’otherwise, the message, ‘The character is not X’ is displayed. Also, note that the condition has tobe specified within parenthesis.If, however, the operator, =, is used instead of the operator, ==, the statement is executed as anassignment. For example, if the statement, if (chr == ‘X’), was written as, if (chr = ‘X’), then, chrwould have been assigned the value, ‘X’ and the condition would be evaluated as true. Thus, themessage, the character is ‘X’ would have been displayed, regardless of the input.This program could also have been written as given below:#include <iostream.h>int main(){char chr;cout << “Please enter a character: “;cin >> chr;if (chr != ‘X’)cout << end1 << “The character is no X”;elsecout << end1 << “The character is X”;return 0;}"
29,CH030,C001,43,"36 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNoteselse{cout << end1 << “input character > z but less than a”;}else{ cout << end1 << “Input character less than A”;}return 0;}The following program shows how the clarity of steps can be increased by using braces ({and})for enclosing parts of the code that follow an if or an else statement.#include <inostream.h>int main(){char inp;cout << “Enter a character: “;cin >> inp;if (inp >= ‘A’){if (inp <= ‘z’){cout << end1 << “Uppercase”;}else if (inp >= ‘a’){if (inp <= ‘z’){cout << end1 << “Lowercase”;}}}return 0;}if (circle) {scanf ( ‘ &f‘ , & radius);area = 3. 14159 * radius * radius;"
30,CH031,C001,45,"38 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotescout <, endl << “ Vowel u” << endl;elsecout << endl << “ The character is not a Vowel” << endl;return o;}2.4.2LoopingThe while statement is used to carry out operations, in which a group of statements is executedrepeatedly, till a condition is satisfied.The general form of the while statement is:while (expression) statement;The statement will be executed repeatedly, as long as the expression is true (i.e., as long expressionhas a nonzero value). This statement can be simple or compound, through it is usually a compoundstatement. It must include some feature that eventually alters the value of the expression, thusproviding a stopping condition for the loop. Did u know? What is the common error while using the while loop?A common error when using the while loop is to forget to do anything that might changethe value being tested on while statement from within the loop. If the variable beingtested is not changed within the loop then the condition will either never be true and theloop will therefore never get executed or it will always be true and will execute forever.Consecutive Integer QuantitiesIn this example, we try to display the consecutive digits 0,1,2, . . . . 9.# include < iostream.h >main ( )/ * display the integers 0 through 9 * /{int digit =0;while ( digit < = 9){ cout<<digit<<endl;++ digit;}}Initially, a digit is assigned a value of 0. The while loop then displays the current value digit,increase its value by 1 and then repeats the cycle, until the value of digit exceeds 9. The net effectis that the body of the loop will be repeated 10 times, resulting in 10 consecutive lines of output.Each line will contain a successive integer value, beginning and ending with 9. Thus, when theprogram is executed, the following output will be generated."
31,CH032,C001,47,"40 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotesOutput1123 As you can see, each number in the series is the4 sum of the two preceding numbers.581321345589The Break StatementThe break statement causes the program flow to exit the body of the while loop. The followingprogram code illustrates the use of the break statement.#include <iostream.h>int main(){int num1 = 1, num2 = 1;cout << num1 << end1;while (num2 < 150){cout << num2 << end1;num2 += num1;num1 = num2 - num1;if (num2 == 89)break}return 0;}The output of the previous program is:112"
32,CH033,C001,49,"42 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotes# include <iostream.h>int main ( ){int constant, vowel ;char inp ;consonant = vowel 0 ;do{inp = ‘ ;cout << endl. << “ Enter a character ( ! to quit ) “;cin >> inp;switch ( inp){case ‘A‘:case ‘a‘:case ‘E‘:case ‘e‘:case ‘I‘:case ‘i‘:case ‘O‘:case ‘o‘:case ‘U‘:case ‘u‘:vowel = vowel + 1;break ;case ‘ !‘:break;default:consonant = consonant + 1;}} while ( inp ! = ‘!‘)if ( constant > vowel )cout << endl << “ Consonant count greater than vowel count” ;else if ( consonant < vowel )cout << endl < “ Vowel count greater than consonant count”;else cout << endl << “ Vowel ! and consonant counts are equal “;return 0;}"
33,CH034,C001,51,"44 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNoteswhere expression-1 is used to initialize some parameter (called an index) that controls thelooping action, expression-2 represents a condition that must be true for the loop to continueexecution, and expression-3 is used to alter the value of the parameter initially assigned byexpression-1. Typically, expression-1 is an assignment expression, expression-2 is a logicalexpression and expression-3 is a unary expression or an assignment expression.When the for statement is executed, expression-2 is evaluated and tested at the beginning of eachpass through the loop, and expression-3 is evaluated at the end of each pass. Thus, the forstatement is equivalent toExpression-1;while (expression-2){statementexpression-3;}The looping action will continue as long as the value of expression-2 is not zero, that is as longas the logical condition represented by expression-2 is true.The program will display the consecutive duals using for loop.# include < stdio. h>main ( )/* display the numbers 0 through 9*/{int digitfor ( digit = 0 , digit < = 9; + + digit)printf ( “ % d\n” , digit);}The first line of the for statement contains three expression, enclosed in parentheses. The firstexpression assigns an initial value 0 to the integer variable digit; the second expression continuesthe looping action as long as the current value of digit does not exceed 9 at the beginning of eachpass, and the third expression increases the value of digit by 1 at the end of each pass through theloop. Task The for statement is ideal when we know exactly how many times we need toiterate, because it lets us easily declare, initialize, and change the value of loop variablesafter each iteration. Analyze and explain with an example.Self AssessmentFill in the blanks:9.The ……………………….. is used to carry out a logical test and then take on of two possibleactions, depending on the outcome of the test.10.The …………………… statement is used to carry out operations, in which a group ofstatements is executed repeatedly, till a condition is satisfied."
34,CH035,C003,52,"LOVELY PROFESSIONAL UNIVERSITY45 Unit 2: Beginning of OOP LanguageNotes11.The ……………… statement causes the program flow to exit the body of the while loop.12.The do-while loop displays the ……………………. value of digit, increases its value by 1.2.5Scope Resolution OperatorC++ is also a block-structured language. We know that the same variable name can be used tohave different meanings in different blocks. The scope of a variable extends from the point of itsdeclaration till the end of the block, containing the declaration. A variable declared inside ablock is said to be local to that block. Blocks in C++ are often nested. For example the followingstyle is common:. . . . .. . . . .{int x=10;. . . . .. . . . .{ int x=1; . . . . . . . . . .}. . .. .}The declaration in an inner block hides a declaration of the same variable in the outer block. C++resolves this problem by introducing a new operator :: called the scope resolution operator.This can be used to uncover a hidden variable. It takes the following format:::variable_nameThis operator allows access to the global version of a variable.Program illustrating the use of :: is given below:# include <iostream.n>int m=10;//globalmmain(){int m=20//m is redeclared; local to main{ int n=m; int m=30;//m is declared again cout << “we are in innerblock \n”;"
35,CH036,C001,53,"46 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotes cout << “n=” <<n<< “\n”; cout << “m=” <<m<< “\n”; cout << “::m=” <<::m<< “\n”; } cout << “\n we are in outer block \n”; cout << “m=” <<m<< “\n”; cout << “::m=” <<::m<< “\n”;}The output of the program:We are in inner block.n = 20m = 30::m = 10We are in outer blockm = 20::m = 10 Did u know? What is the use of scope resolution operator?The :: (scope resolution) operator is used to qualify hidden names so that you can still usethem.2.6Member Dereferencing OperatorsOnce a class (or a structure) is defined, its members (both data and methods/function) can beaccessed (or referenced) using two operators - (.) dot operator and (->) arrow operator. While (.)operator takes class or struct type variable as operand, (->) takes a pointer or reference variableas its operand.With class and structure type variables, (.) dot operator is used to reference the members, asshown in the following program code:struct abc{int a, b, c;};class pqr{int p, q, r;int doit();};abc structone;pqr classone;structone.a = 20;structone.b = 120;"
36,CH037,C001,54,"LOVELY PROFESSIONAL UNIVERSITY47 Unit 2: Beginning of OOP LanguageNotesstructone.c = 30;classone.p = 56;classone.q = 16;classone.r = 51;classone.doit();Evidently, each member can be referenced by using (.) dot operator. However, (.) operator doesnot work on pointer or reference type variables, as is shown in the following code snippet.abc *ptrAbc;pqr *ptrPqr;abc abcone;pqr pqrone;ptrAbc = abcone;//pointer variable ptrAbc points to object abconeptrAbc->a;ptrPqr->doit(); Notes It is possible to access the value of variables pointed by the pointer variables usingpointer. This is performed by using the Dereference operator in C++ which has the notation*.2.6.1Memory Management OperatorsAlong with malloc(), calloc() and frec() functions, C++ also defines two unary operators new anddelete that perform the task of allocating and freeing the memory. Since these operatorsmanipulate memory on the free store, they are also known as free store operators. A data objectcreated inside a block with new will remain in existence until it is explicitly destroyed by usingdelete.The general form of the new operatorpointer_variable = new data_type;The pointer_variable holds the address of the memory space allocated.p = new int;q = new float;We can also initialize the memory using the new operator. This is done as follows:pointer_variable= new data_type(value);Value specifies the initial value as shown below:int*p = new int(25);When an object is no longer needed, it is destroyed to release the memory space for reuse. Thegeneral form is:delete pointer_variable;"
37,CH038,C001,55,"48 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotesFor example,delete p;delete q;If we want to free a dynamically allocated array we must use the following form of delete.delete [size]pointer_variable;For example, statementdelete [ ]p;will delete entire array pointed by p.The new operator has several advantages over the function malloc().1.It automatically computes the size of the data objects.2.It automatically returns the correct pointer type so there is no need to use a type cast.3.It is possible to initialize the object while creating the memory space.4.They both it new and delete can be overloaded. Did u know? What is the need for Memory Management operators?The concept of arrays has a block of memory reserved. The disadvantage with the conceptof arrays is that the programmer must know, while programming, the size of memory tobe allocated in addition to the array size remaining constant.In programming there may be scenarios where programmers may not know the memoryneeded until run time. In this case, the programmer can opt to reserve as much memory aspossible, assigning the maximum memory space needed to tackle this situation. Thiswould result in wastage of unused memory spaces. Memory management operators areused to handle this situation in C++ programming language.2.6.2Declaration of VariablesIf you are familiar with C, you would know that, in C, all variables must be declared before theyare used in executable statements. This is true with C++ as well. However, there is a significantdifference between C and C++ with regard to the place of their declaration in the program.C requires all the variables to be defined at the beginning of a scope. When we read a Cprogram, we usually come across a group of variable declarations at the beginning of each scopelevel. Their actual use appears elsewhere in the scope, sometimes far away from the place ofdeclaration.Before using a variable, we should go back to the beginning of the program to see whether it hasbeen declared and, if so, of what type it is. C++ allows the declaration of a variable anywhere inthe scope. This means that a variable can be declared right at the place of its first use. This makesprograms much easier to write and reduces the errors that may be caused by having to scan backand forth. It also makes the program easier to understand because the variables are declared inthe context of their use. The following example illustrates this point.main ( ){float x;// declaration"
38,CH039,C001,56,"LOVELY PROFESSIONAL UNIVERSITY49 Unit 2: Beginning of OOP LanguageNotesfloat sum = 0;for (int i = 0; i<5; i++)//declaration{cin >> x;sum = sum+x;}float average;//declarationaverage = sum / i;cout << average;} Did u know? What is the disadvantage of this style of declaration?The only disadvantage of this style of declaration is that we cannot see at a glance all thevariables used in a scope.2.6.3Dynamic Initialization of VariablesOne additional feature of C++ is that it permits initialization of the variables at run time. This isreferred to as dynamic initialization. Remember that, in C, a variable must be initialized usinga constant expression and the C compiler would fix the initialization code at the time ofcompilation. However, in C++, a variable can be initialized at run time using expressions at theplace of declaration. For example, the following are valid initialization statements:…..…..int n = strlen(string);…..float area = 3.14159 *rad *rad;This means that both the declaration and initialization of a variable can be done simultaneouslyat the place where the variable is used for the first time. The two statements in the followingexample of the previous sectionfloat average;// declare where it is necessaryaverage = sum / i;can be combined into a single statement:float average = sum /i;// initialize dynamically// at run timeDynamic initialization is extensively used in object-oriented programming. We can create exactlythe type of object needed using information that is known only at the run time."
39,CH040,C001,57,"50 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotes2.6.4Reference VariablesC++ introduces a new kind of variable known as the reference variable. A reference variableprovides an alias (alternative name) for a previously defined variable. For example, if we makethe variable sum a reference to the variable total, then sum and total can be used interchangeablyto represent that variable. A reference variable is created as follows:data_type & reference_name = variable_nameExample:float total = 100;float &sum = total;total is a float type variable that has already been declared, sum is the alternative name declaredto represent the variable total. Both the variables refer to the same data object in the memory.Now, the statementscout << total;andcout << sum;both print the value 100. The statementtotal = total + 10;will change the value of both total and sum to 110. Likewise, the assignmentsum = 0;will change the value of both the variables to zero.A reference variable must be initialized at the time of declaration. This establishes thecorrespondence between the reference and the data object that it names. Note that the initializationof a reference variable is completely different from assignment.Note that C++ assigns additional meaning to the symbol &. Here, & is not an address operator.The notation float & means reference to float. Some more examples are presented below toillustrate this point:int n[10];int &x = n[10];//x is alias for n[10]char &a = ‘\n’;// initialize reference to a literalThe variable x is an alternative to the array element n[10]. The variable a is initialized to the newline constant. This creates a reference to the otherwise unknown location where the new lineconstant \n is stored.The following references are also allowed:1.int x;int *p=&x;int &m = *p;2.int &n = 50;"
40,CH041,C001,58,"LOVELY PROFESSIONAL UNIVERSITY51 Unit 2: Beginning of OOP LanguageNotesThe first set of declarations causes m to refer to x which is pointed to by the pointer p and thestatement in (2) creates an int object with value 50 and name n.A major application of reference variables is when passing arguments to functions. Consider thefollowing code snippet:void f(int &x)// uses reference{x = x+10;// x is incremented; so also m}main ( ) {int m = 10;f(m);// function call….…}When the function call f(m) is executed, the following initialization occurs:Int &x = m;Thus x becomes an alias of m after executing the statement f(m);.Since the variable x and m are aliases, when the function increments x, m is also incremented.The value of m becomes 20 after the function is executed. In traditional C, we accomplish thisoperation using pointers and dereferencing techniques.The call by reference mechanism is useful in object-oriented programming because it permitsthe manipulation of objects by reference and eliminates the copying of object parameters backand forth. Notes Note that the references can be created not only for built-in data types but also foruser-defined data types such as structures and classes. References work wonderfully wellwith these user-defined data types.Self AssessmentFill in the blanks:13.The scope of a variable extends from the point of its declaration till the end ofthe……………….., containing the declaration.14.(.) operator does not work on ………………….. or reference type variables.15.A reference variable provides an alias (alternative name) for a previouslydefined………………... ."
41,CH042,C001,59,"52 LOVELY PROFESSIONAL UNIVERSITY Object-oriented ProgrammingNotesCaseletGetting IT RightVRMLVirtual Reality Modeling Language or Virtual Reality Markup Language is used in creating3-dimensional objects for a virtual reality environment. For example, it could be used tocreate a prototype of moving objects such as the planets in space on a screen. In responseto the mouse click, the VRML objects are triggered to move across the screen and create aflow of movement.VRML objects can generate 2D and 3D animation, sound effects and other visual effectsthat can be inserted as objects in other interfaces such as HTML and Java programs.The file extension used for VRML is “.wrl”. VRML is designed to be used on the Internet,intranets and other local client systems. VRML can be used for engineering and scientificvisualisation, multimedia presentations as well as entertainment and educational titles.For example, VRML can be used to create 3D designs for auto manufacturers.It can also combine other commonly used 3D objects, and translate them to VRML fileformat. VRML objects can be reused without having to be recoded.OOPObject Oriented Programming is a technique that considers methods and data as objects.Other techniques such as process-oriented models deal with methods and data asindependent entities, whereas OOP emphasises the packing of methods and data together.T he method is a set of instructions that is are executed on the given data to achieve a result.For example, in a program which adds two numbers and prints the result, the method isaddition and data is the input of 2 numbers.In OOP the objects can be reused. In the OOP technique the methods are wrapped togetherin a container called class and used whereever the program requires it. A class contains thedefinition of how the objects should behave. OOP manages complexity by way ofinheritance, encapsulation and polymorphism.Encapsulation is the wrapping of both methods and data together as an object. The objectis protected to prevent manipulation by other parts of the program.When an object acquires the properties of another object, i.e., an object obtains the propertiesof all the methods and interfaces for execution that are created in another object, it is calledinheritance.Polymorphism implies that the same interface can be used for different classification ofuses. An example of polymorphism is when a set of information has to be modified inthree different files viz, inserting into file number one, changing the contents in file 2 anddeleting the information in file 3.The OOP technique works best when encapsulation, inheritance and polymorphism arecombined and work together. Some of the popular versions that are available in marketare C++, Java, etc.Accelerator BoardThe accelerator board is an additional fit-in for the motherboard to boost the speed of thecomputer. The motherboard will have a socket to insert any CPU or FPU (floatingContd..."
42,CH043,C001,60,"LOVELY PROFESSIONAL UNIVERSITY53 Unit 2: Beginning of OOP LanguageNotespointunit). The floating point unit is a specially designed chip which can calculate thefloating point values (number with decimal values) much faster than usual. A FPU canhandle all graphical applications much faster than any other chip.The latest computers provide scope for further and higher upgradation. If a motherboardhas a provision for ZIF socket, the upgradation is much easier. Zero Insertion Force (ZIF)is a ready-made socket that allows one to insert and remove any chip set without additionaltools to support.The co-processor is a supporting chip fitted in with the CPU to assist in specific types ofoperations. This will reduce the burden on the CPU when very complex mathematical andscientific calculations have to be done. For instance, the Math Co-processor (MC) willassist the CPU in faster processing of applications that have floating point values. Thecomputer should have a co-processor supporting program that calls the MC to make Crecognise floating point calculations. Otherwise the co-processor will not recognise theinstructions.To boost the speed of the system, all the co-processors can be fitted to the motherboard.2.7SummaryC++ language is made up of letters, words, sentences and constructs just like Englishlanguage.A collection of characters, much like a word in English language are called tokens.A token can be a keyword, or identifier, constant, string or an operator.Keywords are the reserve words that cannot be used as names of variable or other user-defined program elements.Identifiers refer to the names of variables, functions, arrays, classes etc. created by theprogrammer, Basic types.An array represents named list of finite number of similar data elements. A function is anamed part of a program that can be invoked from the other parts of the program.A pointer is a variable that holds a memory address of another variable. A reference is analternative name for an object. A constant is a data item whose data value can neverchange during the program run.Operators are the symbols that represent specific operations. Arithmetic operators areunary +, Unary–, +, –, *, / and % . ‘%’ uses pure integer division thereby requires integeroperands.Comparison operators, also called relational operators, compare the relationships amongvalues. The order of evaluation among logical operators is NOT, AND, OR, i.e.!, &&, 11.Along with mallo(), calloc() and frec() functions, C++ also defines two unary operators,new and delete, that perform the task of allocating and freeing the memory.2.8KeywordsCharacter Constant: One or more characters enclosed in single quotes.Expression: A combination of variables, constants and operators written according to somerules.Identifies: The names of variables, functions, arrays, classes, etc. created by the programmer."
